timestamp,type,bus_id,passager_id,station,priorite
31,EMBARQUEMENT,BUS-L2-01,P024,King Ouest,NORMALE
32,EMBARQUEMENT,BUS-L11-01,P025,Plateau St-Joseph,NORMALE
33,EMBARQUEMENT,BUS-L11-02,P026,King Ouest,HAUTE
34,DEBARQUEMENT,BUS-L7-02,P014,CHUS-Fleurimont,NORMALE
35,EMBARQUEMENT,BUS-L3-02,P027,King Ouest,HAUTE
36,EMBARQUEMENT,BUS-L1-02,P028,Carrefour de l'Estrie,NORMALE
37,EMBARQUEMENT,BUS-L2-02,P029,Station du Cegep,HAUTE
38,EMBARQUEMENT,BUS-L11-01,P030,King Ouest,HAUTE
39,DEBARQUEMENT,BUS-L1-02,P028,Bowen Sud,HAUTE
40,DEBARQUEMENT,BUS-L2-01,P022,Universite de Sherbrooke,HAUTE
41,EMBARQUEMENT,BUS-L11-02,P031,Plateau St-Joseph,NORMALE
42,EMBARQUEMENT,BUS-L1-01,P032,Universite de Sherbrooke,HAUTE
43,DEBARQUEMENT,BUS-L7-01,P015,Plateau St-Joseph,NORMALE
44,EMBARQUEMENT,BUS-L1-02,P033,King Ouest,NORMALE
45,DEBARQUEMENT,BUS-L2-01,P024,King Ouest,NORMALE
46,DEBARQUEMENT,BUS-L11-02,P026,Universite Bishop's,HAUTE
47,DEBARQUEMENT,BUS-L4-01,P023,Station du Cegep,NORMALE
48,EMBARQUEMENT,BUS-L8-02,P034,CHUS-Fleurimont,NORMALE
49,EMBARQUEMENT,BUS-L11-01,P035,Universite Bishop's,NORMALE
50,EMBARQUEMENT,BUS-L2-02,P036,Universite de Sherbrooke,HAUTE
51,EMBARQUEMENT,BUS-L2-02,P037,Universite Bishop's,NORMALE
52,EMBARQUEMENT,BUS-L6-02,P038,CHUS-Fleurimont,NORMALE
53,EMBARQUEMENT,BUS-L4-02,P039,King Ouest,NORMALE
54,DEBARQUEMENT,BUS-L3-02,P003,Station du Cegep,HAUTE
55,EMBARQUEMENT,BUS-L4-01,P040,King Ouest,NORMALE
56,EMBARQUEMENT,BUS-L2-01,P041,Universite de Sherbrooke,NORMALE
57,EMBARQUEMENT,BUS-L6-01,P042,De Lisieux,NORMALE
58,EMBARQUEMENT,BUS-L1-01,P043,Bowen Sud,NORMALE
59,DEBARQUEMENT,BUS-L2-01,P041,Universite de Sherbrooke,NORMALE
60,EMBARQUEMENT,BUS-L11-02,P044,Plateau St-Joseph,NORMALE
61,EMBARQUEMENT,BUS-L6-01,P045,Universite de Sherbrooke,NORMALE
62,EMBARQUEMENT,BUS-L1-01,P046,King Ouest,HAUTE
63,EMBARQUEMENT,BUS-L11-02,P047,Plateau St-Joseph,HAUTE
64,DEBARQUEMENT,BUS-L11-01,P030,Plateau St-Joseph,HAUTE
65,DEBARQUEMENT,BUS-L8-01,P016,CHUS-Fleurimont,HAUTE
66,EMBARQUEMENT,BUS-L7-02,P048,CHUS-Fleurimont,NORMALE
67,EMBARQUEMENT,BUS-L2-01,P049,Universite de Sherbrooke,HAUTE
68,EMBARQUEMENT,BUS-L1-01,P050,Carrefour de l'Estrie,NORMALE
69,EMBARQUEMENT,BUS-L7-01,P051,Plateau St-Joseph,NORMALE
70,EMBARQUEMENT,BUS-L6-02,P052,Universite de Sherbrooke,NORMALE
71,DEBARQUEMENT,BUS-L2-01,P049,Universite Bishop's,NORMALE
72,EMBARQUEMENT,BUS-L4-02,P053,Galvin,NORMALE
73,EMBARQUEMENT,BUS-L3-02,P054,King Ouest,NORMALE
74,EMBARQUEMENT,BUS-L11-01,P055,King Ouest,NORMALE
75,EMBARQUEMENT,BUS-L8-01,P056,Station du Cegep,NORMALE
76,DEBARQUEMENT,BUS-L4-02,P013,King Ouest,NORMALE
77,EMBARQUEMENT,BUS-L3-01,P057,Station du Cegep,HAUTE
78,EMBARQUEMENT,BUS-L7-01,P058,Andre/Hallee,NORMALE
79,DEBARQUEMENT,BUS-L11-02,P047,Plateau St-Joseph,NORMALE
80,EMBARQUEMENT,BUS-L2-01,P059,Universite de Sherbrooke,HAUTE
81,EMBARQUEMENT,BUS-L11-01,P060,King Ouest,HAUTE
82,DEBARQUEMENT,BUS-L4-01,P040,Galvin,NORMALE
83,EMBARQUEMENT,BUS-L4-01,P061,Galvin,NORMALE
84,EMBARQUEMENT,BUS-L7-02,P062,CHUS-Fleurimont,NORMALE
85,DEBARQUEMENT,BUS-L2-01,P059,King Ouest,NORMALE
86,DEBARQUEMENT,BUS-L4-01,P061,Galvin,HAUTE
87,EMBARQUEMENT,BUS-L6-02,P063,De Lisieux,NORMALE
88,DEBARQUEMENT,BUS-L4-02,P039,Galvin,HAUTE
89,DEBARQUEMENT,BUS-L3-01,P057,Carrefour de l'Estrie,NORMALE
90,EMBARQUEMENT,BUS-L11-02,P064,Universite Bishop's,NORMALE
91,DEBARQUEMENT,BUS-L11-01,P060,King Ouest,NORMALE
92,EMBARQUEMENT,BUS-L7-02,P065,Andre/Hallee,NORMALE
93,EMBARQUEMENT,BUS-L7-01,P066,Plateau St-Joseph,NORMALE
94,DEBARQUEMENT,BUS-L1-01,P050,Bowen Sud,HAUTE
95,DEBARQUEMENT,BUS-L4-02,P053,Carrefour de l'Estrie,NORMALE
96,DEBARQUEMENT,BUS-L1-02,P033,King Ouest,HAUTE
97,EMBARQUEMENT,BUS-L1-01,P067,King Ouest,NORMALE
98,DEBARQUEMENT,BUS-L7-01,P058,Plateau St-Joseph,HAUTE
99,EMBARQUEMENT,BUS-L2-02,P068,Universite de Sherbrooke,HAUTE
100,DEBARQUEMENT,BUS-L2-02,P036,Universite de Sherbrooke,NORMALE
101,EMBARQUEMENT,BUS-L1-01,P069,Bowen Sud,HAUTE
102,EMBARQUEMENT,BUS-L4-02,P070,Station du Cegep,NORMALE
103,DEBARQUEMENT,BUS-L1-01,P069,King Ouest,NORMALE
104,EMBARQUEMENT,BUS-L8-02,P071,CHUS-Fleurimont,HAUTE
105,EMBARQUEMENT,BUS-L6-01,P072,De Lisieux,HAUTE
106,EMBARQUEMENT,BUS-L6-02,P073,CHUS-Fleurimont,NORMALE
107,EMBARQUEMENT,BUS-L3-02,P074,Station du Cegep,NORMALE
108,DEBARQUEMENT,BUS-L6-01,P042,De Lisieux,NORMALE
109,DEBARQUEMENT,BUS-L3-02,P001,King Ouest,NORMALE
110,DEBARQUEMENT,BUS-L7-01,P006,CHUS-Fleurimont,HAUTE
111,DEBARQUEMENT,BUS-L11-02,P064,Universite Bishop's,NORMALE
112,EMBARQUEMENT,BUS-L1-01,P075,Bowen Sud,NORMALE
113,EMBARQUEMENT,BUS-L3-02,P076,Station du Cegep,HAUTE
114,DEBARQUEMENT,BUS-L7-02,P048,Plateau St-Joseph,NORMALE
115,EMBARQUEMENT,BUS-L1-02,P077,Bowen Sud,NORMALE
116,EMBARQUEMENT,BUS-L7-02,P078,CHUS-Fleurimont,NORMALE
117,EMBARQUEMENT,BUS-L4-01,P079,King Ouest,NORMALE
118,DEBARQUEMENT,BUS-L7-01,P051,Plateau St-Joseph,HAUTE
119,EMBARQUEMENT,BUS-L2-02,P080,Universite de Sherbrooke,NORMALE
120,DEBARQUEMENT,BUS-L1-01,P046,Carrefour de l'Estrie,NORMALE
121,EMBARQUEMENT,BUS-L11-02,P081,King Ouest,NORMALE
122,EMBARQUEMENT,BUS-L7-01,P082,Plateau St-Joseph,NORMALE
123,EMBARQUEMENT,BUS-L2-01,P083,Universite de Sherbrooke,NORMALE
124,EMBARQUEMENT,BUS-L4-01,P084,Station du Cegep,NORMALE
125,EMBARQUEMENT,BUS-L4-01,P085,Carrefour de l'Estrie,NORMALE
126,EMBARQUEMENT,BUS-L1-01,P086,Carrefour de l'Estrie,NORMALE
127,EMBARQUEMENT,BUS-L8-01,P087,Universite de Sherbrooke,NORMALE
128,EMBARQUEMENT,BUS-L3-01,P088,13e Avenue,HAUTE
129,EMBARQUEMENT,BUS-L6-01,P089,CHUS-Fleurimont,NORMALE
130,DEBARQUEMENT,BUS-L11-01,P035,Universite Bishop's,HAUTE
131,DEBARQUEMENT,BUS-L6-02,P038,CHUS-Fleurimont,NORMALE
132,EMBARQUEMENT,BUS-L4-02,P090,Galvin,NORMALE
133,EMBARQUEMENT,BUS-L1-01,P091,Carrefour de l'Estrie,NORMALE
134,EMBARQUEMENT,BUS-L7-02,P092,Andre/Hallee,HAUTE
135,DEBARQUEMENT,BUS-L3-02,P027,13e Avenue,NORMALE
136,EMBARQUEMENT,BUS-L3-01,P093,13e Avenue,HAUTE
137,EMBARQUEMENT,BUS-L2-01,P094,Universite Bishop's,NORMALE
138,EMBARQUEMENT,BUS-L8-01,P095,CHUS-Fleurimont,NORMALE
139,EMBARQUEMENT,BUS-L3-02,P096,Carrefour de l'Estrie,HAUTE
140,EMBARQUEMENT,BUS-L8-02,P097,Station du Cegep,NORMALE
141,EMBARQUEMENT,BUS-L4-01,P098,Galvin,NORMALE
142,EMBARQUEMENT,BUS-L1-01,P099,Carrefour de l'Estrie,HAUTE
143,EMBARQUEMENT,BUS-L11-02,P100,Plateau St-Joseph,NORMALE
144,EMBARQUEMENT,BUS-L4-02,P101,King Ouest,HAUTE
145,DEBARQUEMENT,BUS-L4-02,P090,Carrefour de l'Estrie,HAUTE
146,EMBARQUEMENT,BUS-L6-02,P102,De Lisieux,HAUTE
147,DEBARQUEMENT,BUS-L8-02,P097,CHUS-Fleurimont,NORMALE
148,EMBARQUEMENT,BUS-L8-02,P103,Station du Cegep,NORMALE
149,EMBARQUEMENT,BUS-L4-02,P104,King Ouest,HAUTE
150,DEBARQUEMENT,BUS-L8-02,P034,Universite de Sherbrooke,NORMALE
151,EMBARQUEMENT,BUS-L2-02,P105,Universite de Sherbrooke,NORMALE
152,DEBARQUEMENT,BUS-L4-02,P070,King Ouest,NORMALE
153,DEBARQUEMENT,BUS-L1-01,P091,Universite de Sherbrooke,NORMALE
154,DEBARQUEMENT,BUS-L3-02,P076,Station du Cegep,HAUTE
155,EMBARQUEMENT,BUS-L3-02,P106,Carrefour de l'Estrie,NORMALE
156,DEBARQUEMENT,BUS-L4-01,P085,Station du Cegep,NORMALE
157,DEBARQUEMENT,BUS-L1-01,P067,King Ouest,HAUTE
158,EMBARQUEMENT,BUS-L7-02,P107,Andre/Hallee,NORMALE
159,EMBARQUEMENT,BUS-L4-01,P108,King Ouest,HAUTE
160,EMBARQUEMENT,BUS-L1-02,P109,King Ouest,NORMALE
161,EMBARQUEMENT,BUS-L1-02,P110,Carrefour de l'Estrie,HAUTE
162,DEBARQUEMENT,BUS-L4-02,P104,Carrefour de l'Estrie,NORMALE
163,DEBARQUEMENT,BUS-L3-02,P074,13e Avenue,NORMALE
164,EMBARQUEMENT,BUS-L3-01,P111,13e Avenue,NORMALE
165,EMBARQUEMENT,BUS-L6-02,P112,CHUS-Fleurimont,NORMALE
166,EMBARQUEMENT,BUS-L7-02,P113,Plateau St-Joseph,HAUTE
167,DEBARQUEMENT,BUS-L2-02,P011,King Ouest,NORMALE
168,EMBARQUEMENT,BUS-L7-02,P114,Plateau St-Joseph,NORMALE
169,EMBARQUEMENT,BUS-L11-01,P115,King Ouest,HAUTE
170,DEBARQUEMENT,BUS-L11-01,P115,Universite Bishop's,HAUTE
171,DEBARQUEMENT,BUS-L7-02,P065,Andre/Hallee,HAUTE
172,EMBARQUEMENT,BUS-L2-02,P116,Station du Cegep,NORMALE
173,DEBARQUEMENT,BUS-L2-01,P094,Universite de Sherbrooke,HAUTE
174,EMBARQUEMENT,BUS-L7-02,P117,CHUS-Fleurimont,HAUTE
175,EMBARQUEMENT,BUS-L6-02,P118,De Lisieux,NORMALE
176,DEBARQUEMENT,BUS-L7-01,P066,Plateau St-Joseph,NORMALE
177,DEBARQUEMENT,BUS-L2-02,P037,Universite de Sherbrooke,NORMALE
178,DEBARQUEMENT,BUS-L2-02,P116,Station du Cegep,NORMALE
179,EMBARQUEMENT,BUS-L4-02,P119,Galvin,NORMALE
180,EMBARQUEMENT,BUS-L11-01,P120,Plateau St-Joseph,NORMALE
181,EMBARQUEMENT,BUS-L1-01,P121,Universite de Sherbrooke,NORMALE
182,DEBARQUEMENT,BUS-L1-01,P099,Carrefour de l'Estrie,NORMALE
183,EMBARQUEMENT,BUS-L8-01,P122,Station du Cegep,NORMALE
184,DEBARQUEMENT,BUS-L7-01,P082,CHUS-Fleurimont,HAUTE
185,EMBARQUEMENT,BUS-L7-02,P123,Plateau St-Joseph,HAUTE
186,EMBARQUEMENT,BUS-L3-01,P124,Carrefour de l'Estrie,NORMALE
187,DEBARQUEMENT,BUS-L4-01,P084,King Ouest,NORMALE
188,DEBARQUEMENT,BUS-L2-01,P083,Universite Bishop's,NORMALE
189,EMBARQUEMENT,BUS-L1-02,P125,King Ouest,HAUTE
190,EMBARQUEMENT,BUS-L8-02,P126,Universite de Sherbrooke,NORMALE
191,DEBARQUEMENT,BUS-L3-01,P088,Carrefour de l'Estrie,HAUTE
192,EMBARQUEMENT,BUS-L3-01,P127,13e Avenue,HAUTE
193,DEBARQUEMENT,BUS-L1-02,P077,Universite de Sherbrooke,NORMALE
194,EMBARQUEMENT,BUS-L3-02,P128,Carrefour de l'Estrie,NORMALE
195,EMBARQUEMENT,BUS-L2-01,P129,King Ouest,NORMALE
196,DEBARQUEMENT,BUS-L8-01,P122,Universite de Sherbrooke,NORMALE
197,EMBARQUEMENT,BUS-L1-02,P130,Bowen Sud,HAUTE
198,DEBARQUEMENT,BUS-L2-01,P129,Station du Cegep,HAUTE
199,EMBARQUEMENT,BUS-L7-01,P131,Andre/Hallee,NORMALE
200,EMBARQUEMENT,BUS-L7-01,P132,Andre/Hallee,NORMALE
201,EMBARQUEMENT,BUS-L3-01,P133,Station du Cegep,HAUTE
202,EMBARQUEMENT,BUS-L6-02,P134,CHUS-Fleurimont,NORMALE
203,DEBARQUEMENT,BUS-L4-02,P101,King Ouest,NORMALE
204,DEBARQUEMENT,BUS-L8-01,P087,Station du Cegep,NORMALE
205,DEBARQUEMENT,BUS-L2-02,P080,Universite de Sherbrooke,NORMALE
206,EMBARQUEMENT,BUS-L7-01,P135,CHUS-Fleurimont,NORMALE
207,EMBARQUEMENT,BUS-L4-01,P136,Station du Cegep,NORMALE
208,DEBARQUEMENT,BUS-L6-01,P072,De Lisieux,HAUTE
209,EMBARQUEMENT,BUS-L8-01,P137,Universite de Sherbrooke,NORMALE
210,DEBARQUEMENT,BUS-L6-01,P045,De Lisieux,NORMALE
211,EMBARQUEMENT,BUS-L8-01,P138,Universite de Sherbrooke,HAUTE
212,DEBARQUEMENT,BUS-L6-02,P073,De Lisieux,NORMALE
213,EMBARQUEMENT,BUS-L7-01,P139,Andre/Hallee,NORMALE
214,EMBARQUEMENT,BUS-L11-01,P140,King Ouest,NORMALE
215,EMBARQUEMENT,BUS-L2-01,P141,Universite de Sherbrooke,NORMALE
216,DEBARQUEMENT,BUS-L7-01,P132,Plateau St-Joseph,NORMALE
217,DEBARQUEMENT,BUS-L3-01,P124,King Ouest,NORMALE
218,EMBARQUEMENT,BUS-L7-02,P142,Plateau St-Joseph,NORMALE
219,EMBARQUEMENT,BUS-L1-01,P143,King Ouest,NORMALE
220,EMBARQUEMENT,BUS-L7-02,P144,Plateau St-Joseph,NORMALE
221,EMBARQUEMENT,BUS-L3-02,P145,Carrefour de l'Estrie,HAUTE
222,EMBARQUEMENT,BUS-L4-02,P146,Carrefour de l'Estrie,NORMALE
223,DEBARQUEMENT,BUS-L11-01,P120,Plateau St-Joseph,NORMALE
224,EMBARQUEMENT,BUS-L7-02,P147,Andre/Hallee,NORMALE
225,DEBARQUEMENT,BUS-L6-02,P052,Universite de Sherbrooke,NORMALE
226,EMBARQUEMENT,BUS-L8-02,P148,Universite de Sherbrooke,NORMALE
227,EMBARQUEMENT,BUS-L6-01,P149,De Lisieux,HAUTE
228,EMBARQUEMENT,BUS-L1-01,P150,Bowen Sud,NORMALE
229,EMBARQUEMENT,BUS-L8-02,P151,CHUS-Fleurimont,HAUTE
230,EMBARQUEMENT,BUS-L8-01,P152,Universite de Sherbrooke,HAUTE
231,EMBARQUEMENT,BUS-L4-01,P153,Station du Cegep,NORMALE
232,DEBARQUEMENT,BUS-L6-01,P149,Universite de Sherbrooke,NORMALE
233,EMBARQUEMENT,BUS-L2-02,P154,Universite Bishop's,NORMALE
234,DEBARQUEMENT,BUS-L2-02,P154,Station du Cegep,NORMALE
235,EMBARQUEMENT,BUS-L6-02,P155,De Lisieux,NORMALE
236,EMBARQUEMENT,BUS-L2-01,P156,Universite de Sherbrooke,HAUTE
237,EMBARQUEMENT,BUS-L1-02,P157,Carrefour de l'Estrie,NORMALE
238,DEBARQUEMENT,BUS-L8-02,P126,CHUS-Fleurimont,HAUTE
239,EMBARQUEMENT,BUS-L6-01,P158,Universite de Sherbrooke,HAUTE
240,EMBARQUEMENT,BUS-L2-01,P159,King Ouest,HAUTE
241,EMBARQUEMENT,BUS-L11-01,P160,King Ouest,HAUTE
242,EMBARQUEMENT,BUS-L2-02,P161,Universite Bishop's,NORMALE
243,DEBARQUEMENT,BUS-L4-02,P119,Carrefour de l'Estrie,NORMALE
244,DEBARQUEMENT,BUS-L4-02,P146,Galvin,NORMALE
245,DEBARQUEMENT,BUS-L3-02,P106,Carrefour de l'Estrie,HAUTE
246,DEBARQUEMENT,BUS-L6-01,P089,Universite de Sherbrooke,NORMALE
247,EMBARQUEMENT,BUS-L11-02,P162,King Ouest,HAUTE
248,DEBARQUEMENT,BUS-L7-02,P117,CHUS-Fleurimont,NORMALE
249,EMBARQUEMENT,BUS-L2-02,P163,King Ouest,NORMALE
250,EMBARQUEMENT,BUS-L7-02,P164,Plateau St-Joseph,NORMALE
251,EMBARQUEMENT,BUS-L2-01,P165,Station du Cegep,HAUTE
252,EMBARQUEMENT,BUS-L1-01,P166,King Ouest,NORMALE
253,EMBARQUEMENT,BUS-L11-02,P167,Plateau St-Joseph,NORMALE
254,DEBARQUEMENT,BUS-L2-02,P068,Station du Cegep,NORMALE
255,EMBARQUEMENT,BUS-L1-02,P168,Carrefour de l'Estrie,HAUTE
256,EMBARQUEMENT,BUS-L1-01,P169,Carrefour de l'Estrie,NORMALE
257,DEBARQUEMENT,BUS-L6-01,P158,De Lisieux,NORMALE
258,EMBARQUEMENT,BUS-L6-02,P170,De Lisieux,NORMALE
259,EMBARQUEMENT,BUS-L6-01,P171,Universite de Sherbrooke,NORMALE
260,EMBARQUEMENT,BUS-L3-01,P172,Station du Cegep,NORMALE
261,EMBARQUEMENT,BUS-L8-01,P173,Station du Cegep,NORMALE
262,EMBARQUEMENT,BUS-L7-02,P174,Plateau St-Joseph,NORMALE
263,DEBARQUEMENT,BUS-L6-01,P171,De Lisieux,NORMALE
264,DEBARQUEMENT,BUS-L3-01,P172,Carrefour de l'Estrie,NORMALE
265,DEBARQUEMENT,BUS-L11-01,P160,Plateau St-Joseph,NORMALE
266,EMBARQUEMENT,BUS-L11-01,P175,Plateau St-Joseph,NORMALE
267,EMBARQUEMENT,BUS-L8-01,P176,Universite de Sherbrooke,HAUTE
268,EMBARQUEMENT,BUS-L1-01,P177,Bowen Sud,HAUTE
269,DEBARQUEMENT,BUS-L7-02,P144,CHUS-Fleurimont,NORMALE
270,DEBARQUEMENT,BUS-L1-02,P125,Carrefour de l'Estrie,HAUTE
271,DEBARQUEMENT,BUS-L11-02,P167,King Ouest,NORMALE
272,DEBARQUEMENT,BUS-L8-02,P103,Station du Cegep,NORMALE
273,EMBARQUEMENT,BUS-L2-02,P178,Universite Bishop's,HAUTE
274,DEBARQUEMENT,BUS-L3-02,P054,Station du Cegep,NORMALE
275,EMBARQUEMENT,BUS-L2-01,P179,Universite de Sherbrooke,NORMALE
276,DEBARQUEMENT,BUS-L11-01,P025,Plateau St-Joseph,NORMALE
277,EMBARQUEMENT,BUS-L11-01,P180,Universite Bishop's,HAUTE
278,DEBARQUEMENT,BUS-L8-01,P056,Universite de Sherbrooke,NORMALE
279,EMBARQUEMENT,BUS-L1-01,P181,Bowen Sud,NORMALE
280,EMBARQUEMENT,BUS-L8-01,P182,Station du Cegep,HAUTE
281,DEBARQUEMENT,BUS-L1-02,P110,King Ouest,HAUTE
282,EMBARQUEMENT,BUS-L8-02,P183,Station du Cegep,NORMALE
283,EMBARQUEMENT,BUS-L11-01,P184,Universite Bishop's,NORMALE
284,EMBARQUEMENT,BUS-L6-01,P185,Universite de Sherbrooke,NORMALE
285,EMBARQUEMENT,BUS-L7-01,P186,Andre/Hallee,HAUTE
286,EMBARQUEMENT,BUS-L8-02,P187,Universite de Sherbrooke,HAUTE
287,DEBARQUEMENT,BUS-L6-02,P112,CHUS-Fleurimont,NORMALE
288,EMBARQUEMENT,BUS-L3-02,P188,Station du Cegep,NORMALE
289,EMBARQUEMENT,BUS-L7-02,P189,CHUS-Fleurimont,HAUTE
290,DEBARQUEMENT,BUS-L6-02,P102,Universite de Sherbrooke,NORMALE
291,DEBARQUEMENT,BUS-L6-01,P185,De Lisieux,HAUTE
292,EMBARQUEMENT,BUS-L2-01,P190,Station du Cegep,HAUTE
293,EMBARQUEMENT,BUS-L2-01,P191,Universite de Sherbrooke,NORMALE
294,EMBARQUEMENT,BUS-L3-01,P192,Station du Cegep,NORMALE
295,EMBARQUEMENT,BUS-L4-01,P193,King Ouest,NORMALE
296,DEBARQUEMENT,BUS-L4-01,P017,Carrefour de l'Estrie,NORMALE
297,EMBARQUEMENT,BUS-L4-02,P194,Carrefour de l'Estrie,NORMALE
298,EMBARQUEMENT,BUS-L6-02,P195,Universite de Sherbrooke,HAUTE
299,EMBARQUEMENT,BUS-L8-02,P196,Universite de Sherbrooke,HAUTE
300,EMBARQUEMENT,BUS-L11-02,P197,Plateau St-Joseph,NORMALE
301,DEBARQUEMENT,BUS-L4-01,P136,Carrefour de l'Estrie,NORMALE
302,EMBARQUEMENT,BUS-L11-01,P198,Plateau St-Joseph,NORMALE
303,DEBARQUEMENT,BUS-L7-01,P186,Plateau St-Joseph,NORMALE
304,DEBARQUEMENT,BUS-L3-01,P111,13e Avenue,NORMALE
305,DEBARQUEMENT,BUS-L3-02,P096,Station du Cegep,NORMALE
306,DEBARQUEMENT,BUS-L7-01,P131,CHUS-Fleurimont,NORMALE
307,EMBARQUEMENT,BUS-L1-01,P199,Universite de Sherbrooke,NORMALE
308,EMBARQUEMENT,BUS-L11-02,P200,Universite Bishop's,NORMALE
309,DEBARQUEMENT,BUS-L3-02,P188,Carrefour de l'Estrie,HAUTE
310,DEBARQUEMENT,BUS-L2-02,P163,Station du Cegep,HAUTE
311,DEBARQUEMENT,BUS-L11-01,P140,King Ouest,HAUTE
312,EMBARQUEMENT,BUS-L11-02,P201,King Ouest,NORMALE
313,EMBARQUEMENT,BUS-L4-02,P202,Station du Cegep,NORMALE
314,EMBARQUEMENT,BUS-L11-02,P203,Universite Bishop's,NORMALE
315,DEBARQUEMENT,BUS-L6-02,P134,De Lisieux,NORMALE
316,DEBARQUEMENT,BUS-L4-02,P194,Carrefour de l'Estrie,NORMALE
317,EMBARQUEMENT,BUS-L3-01,P204,13e Avenue,NORMALE
318,EMBARQUEMENT,BUS-L7-01,P205,Plateau St-Joseph,HAUTE
319,DEBARQUEMENT,BUS-L4-01,P108,Station du Cegep,HAUTE
320,EMBARQUEMENT,BUS-L11-02,P206,Universite Bishop's,NORMALE
321,DEBARQUEMENT,BUS-L11-01,P184,King Ouest,HAUTE
322,DEBARQUEMENT,BUS-L8-02,P071,Universite de Sherbrooke,NORMALE
323,DEBARQUEMENT,BUS-L2-01,P179,Universite de Sherbrooke,NORMALE
324,EMBARQUEMENT,BUS-L1-01,P207,Universite de Sherbrooke,NORMALE
325,DEBARQUEMENT,BUS-L11-02,P044,King Ouest,NORMALE
326,DEBARQUEMENT,BUS-L8-01,P095,Universite de Sherbrooke,NORMALE
327,DEBARQUEMENT,BUS-L8-02,P148,Station du Cegep,HAUTE
328,EMBARQUEMENT,BUS-L4-02,P208,Station du Cegep,NORMALE
329,DEBARQUEMENT,BUS-L3-01,P127,King Ouest,NORMALE
330,DEBARQUEMENT,BUS-L1-01,P086,King Ouest,HAUTE
331,EMBARQUEMENT,BUS-L4-02,P209,Station du Cegep,HAUTE
332,DEBARQUEMENT,BUS-L1-02,P168,Bowen Sud,NORMALE
333,DEBARQUEMENT,BUS-L7-01,P135,Plateau St-Joseph,NORMALE
334,EMBARQUEMENT,BUS-L6-01,P210,Universite de Sherbrooke,NORMALE
335,EMBARQUEMENT,BUS-L8-01,P211,Station du Cegep,NORMALE
336,EMBARQUEMENT,BUS-L8-02,P212,CHUS-Fleurimont,NORMALE
337,EMBARQUEMENT,BUS-L2-02,P213,Universite de Sherbrooke,NORMALE
338,DEBARQUEMENT,BUS-L3-02,P145,Carrefour de l'Estrie,NORMALE
339,DEBARQUEMENT,BUS-L1-02,P130,Carrefour de l'Estrie,NORMALE
340,EMBARQUEMENT,BUS-L4-02,P214,Carrefour de l'Estrie,HAUTE
341,DEBARQUEMENT,BUS-L6-02,P155,CHUS-Fleurimont,NORMALE
342,EMBARQUEMENT,BUS-L6-01,P215,Universite de Sherbrooke,NORMALE
